Comment,Description,Designator,Footprint,LibRef,Quantity

"20pF","CAP CER 20p 0805","C1, C2","CER_0603","00002200","2"
"100n","CAP CER 100n 10V X5R 10% 0603","C3, C4, C5, C12","CER_0603","06032105","4"
"2.2uF","CAP CER 2.2u X7R 100V 20% 1210","C6, C7","CER_1210","00002225","2"
"100uF","CAP CER 100u X5R 6.3V 10% 1210","C8","CER_1210","00002108","1"
"15n","CAP CER 15n 0603","C9","CER_0603","06032153","1"
"68p","CAP CER 68p 0603","C10","CER_0603","06032680","1"
"10uF","CAP TANT 10u","C11","TANT_1210","00001106","1"
"B360B","DIODE SCHOTTKY 60V 3A DO214AC","D1","DO214AC","B360B","1"
"SK34","DIODE SCHOTTKY 40V 3A DO214AC","D2","DO214AC","SK34","1"
"00000005","","J1","HM2X20","00000005","1"
"","","J2","HM1x2","00000003","1"
"00000006","","J3","HM1X10","00000006","1"
"10uH","FIXED IND 10uH 3A","L1","INDUCTOR_SS1260-103MLD","IND_10uH","1"
"LED GREEN","LED GREEN CLEAR 0805 SMD","LED1, LED2, LED3, LED4","LED_GREEN_0805","LED_GREEN 0805","4"
"LED RED","LED RED 0805","LED5","LED_RED_0805","LED_RED_0805","1"
"","","P1","PWR_Con","00000002","1"
"RJ-11","","P2, P3","RJ11-6N-B","00000001","2"
"4.7k","RES SMD 4.7 kOhm 1/8W 0805","R1","RESC2013X38N-0805-NOOVERLAY","00004701","1"
"330k","RES SMD 330 kOhm 1/8W 0805","R2","RESC2013X38N-0805-NOOVERLAY","00003303","1"
"51k","RES SMD 51 kOhm 1/8W 0805","R3","RESC2013X38N-0805-NOOVERLAY","00005102","1"
"56k","RES SMD 56 kOhm 1/8W 0805","R4","RESC2013X38N-0805-NOOVERLAY","00005602","1"
"160k","RES SMD 160 kOhm 1/8W 0805","R5","RESC2013X38N-0805-NOOVERLAY","00001603","1"
"15k","RES SMD 15 kOhm 1/8W 0805","R6","RESC2013X38N-0805-NOOVERLAY","00001502","1"
"9.1k","RES SMD 9.1 kOhm 1/8W 0805","R7","RESC2013X38N-0805-NOOVERLAY","00009101","1"
"620R","RES SMD 620 Ohm 1/8W 0805","R8","RESC2013X38N-0805-NOOVERLAY","00006200","1"
"120R","RES SMD 120 Ohm 1/8W 0805","R9","RESC2013X38N-0805-NOOVERLAY","000001200","1"
"1k","RES SMD 1 kOhm 1/8W 0805","R10, R11, R12, R13, R14","RESC2013X38N-0805-NOOVERLAY","00001001","5"
"10k","RES SMD 10 kOhm 1/8W 0805","R?","RESC2013X38N-0805-NOOVERLAY","000001002","1"
"MCP2515-I/SO","IC CAN CONTROLLER W/SPI 18SOIC","U1","SOIC-18","MCP2515","1"
"SN65HVD230DR","IC EMC CAN TRANSCEIVER 8-SOIC","U2","SOIC-8","SN65HVD230","1"
"TPS54340","DC-DC Buck Regulator","U3","HSOP-8","00000003","1"
"LM2937-5","IC REG LINEAR 5V 400MA SOT223-4","U4","SOT223","00000007","1"
"16MHz","Crystal Oscillator","Y1","OSCILATOR","XtalSmd","1"
